SN.,size of cluster,cluster member,merge reason,first match count,second match count
0,116,"['able', 'leader', 'ability', 'skills', 'capable', 'intelligence', 'smart', 'leadership', 'wise', 'knowledgeable', 'diplomacy', 'good', 'basic', 'kindness', 'well', 'morality', 'honest', 'honesty', 'integrity', 'unity', 'whole', 'knowledge', 'compassion', 'achievement', 'situations', 'office', 'president', 'negotiator', 'time', 'term', 'experience', 'serve', 'qualified', 'character', 'qualities', 'logical', 'fulfilled', 'different', 'empathy', 'empathize', 'understanding', 'sense', 'u', 'motives', 'think', 'political', 'politics', 'sociology', 'ideas', 'deliberate', 'problem', 'nice', 'polite', 'course', 'run', 'working', 'making', 'constitution', 'goals', 'work', 'care', 'caring', 'solving', 'determination', 'management', 'decisions', 'decisiveness', 'compromise', 'teamwork', 'selfless', 'prejudice', 'prejudices', 'dedication', 'promises', 'dedicated', 'commitment', 'mature', 'long', 'born', 'genuine', 'progressive', 'appeals', 'equality', 'someone', 'humility', 'humble', 'ethic', 'systems', 'relations', 'groups', 'people', 'country', 'county', 'bravery', 'common', 'lot', 'passion', 'friendly', 'approachable', 'willingness', 'calm', 'agreeable', 'strong', 'hard', 'trustworthy', 'trustworthiness', 'idiot', 'sure', 'confident', 'controlling', 'join', 'oriented', 'vast', 'international', 'together', 'crucial']","[((Synset('decide.v.01'), 'reach, make, or come to a decision about something'), (Synset('orient.v.02'), ""determine one's position with reference to another point""))]","(22, (0, 'leadership', 17, 29))","(0, None)"
1,1,"[""i'm""]","[((Synset('fourth_dimension.n.01'), 'the fourth coordinate that is required (along with three spatial dimensions) to specify a physical event'), (Synset('enormousness.n.01'), 'unusual largeness in size or extent or number'))]","(0, None)","(0, None)"
2,1,['proud'],"[((Synset('fourth_dimension.n.01'), 'the fourth coordinate that is required (along with three spatial dimensions) to specify a physical event'), (Synset('internationality.n.01'), 'quality of being international in scope'))]","(1, (8, 'confident', 3, 3))","(0, None)"
3,1,['eloquent'],"[((Synset('humility.n.02'), 'a humble feeling'), (Synset('togetherness.n.01'), 'affectionate closeness'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
4,1,['preferably'],"[((Synset('situation.n.02'), 'a condition or position in which you find yourself'), (Synset('criticality.n.01'), 'a state of critical urgency'))]","(0, None)","(0, None)"
5,1,['exceptionally'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
6,1,['others'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
7,1,['level-headed'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
8,1,['peaceful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
9,1,['ulterior'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
10,1,['levelheadedness'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
11,1,['stressful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
12,1,['underprivileged'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
13,1,['sophisticated'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
14,1,['umm'],NA,"(0, None)","(0, None)"
15,1,['inclusivity'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
16,1,['politically'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
